nome,class,país,ano,lucro,custo,vitórias,indicações,nota_media,total_votos,filme_categoria
Ladrões de Bicicletas,10,Itália,1948,450159,133000,18,1,8.123,174100,Melhores
Laranja Mecânica,Banido,Reino Unido,1971,27023100,2200000,12,26,8.135,880800,Melhores
Lawrence da Arábia,14,Reino Unido,1962,45752083,15000000,31,14,8.12,315200,Melhores
Logan,16,EUA,2017,619180476,97000000,28,82,8.165000000000001,831700,Melhores
Los Angeles: Cidade Proibida,18,EUA,1997,126216940,35000000,91,86,8.17,617900,Melhores
Luzes da Cidade,Livre,EUA,1931,50419,1500000,4,0,8.308,196300,Melhores
Mad Max: Estrada da Fúria,16,Austrália,2015,380418444,150000000,245,233,8.003,1085500,Melhores
Mary e Max - Uma Amizade Diferente,12,Austrália,2009,1740625,5438400,6,9,8.085,187656,Melhores
Matrix,14,EUA,1999,467623299,63000000,42,52,8.565999999999999,2053200,Melhores
Memórias de um Assassino,14,Coreia do Sul,2003,1208481,2800000,33,10,8.123,215219,Melhores
Menina de Ouro,12,EUA,2004,216763646,30000000,68,86,8.043000000000001,722500,Melhores
Metrópolis,Livre,Alemanha,1927,1349711,3286289.9999999995,6,6,8.057,185600,Melhores
Meu Amigo Totoro,Livre,Japão,1988,30695952,3700000,5,2,8.182,380500,Melhores
Meu Pai,12,Reino Unido,2020,24048935,6000000,37,168,8.246,193052,Melhores
Monstros S.A.,Livre,EUA,2001,579723768,115000000,15,38,8.096,980100,Melhores
Monty Python em Busca do Cálice Sagrado,Livre,Reino Unido,1975,2817496,291560.25,2,2,8.17,570800,Melhores
Na Natureza Selvagem,12,EUA,2007,56676733,15000000,23,106,8.068,657900,Melhores
Nascido para Matar,16,Reino Unido,1987,46361894,30000000,8,15,8.216,790300,Melhores
O Barco: Inferno no Mar,14,Alemanha,1981,11488778,17526880,13,12,8.248999999999999,264000,Melhores
O Castelo Animado,Livre,Japão,2004,237728958,24000000,14,20,8.282,449500,Melhores
O Enigma de Outro Mundo,14,EUA,1982,19872469,15000000,0,5,8.169,465900,Melhores
O Exorcista,14,EUA,1973,441306145,11000000,18,21,7.969,455000,Melhores
O Exterminador do Futuro,14,Reino Unido,1984,78371200,6400000,8,7,8.017,924700,Melhores
O Exterminador do Futuro 2: O Julgamento Final,14,EUA,1991,520881154,102000000,39,33,8.422,1173800,Melhores
O Fabuloso Destino de Amélie Poulain,14,França,2001,174917076,10000000,59,74,8.217,793400,Melhores
O Franco Atirador,18,EUA,1978,49080126,15000000,24,27,8.055,363200,Melhores
O Garoto,Livre,EUA,1921,41979,250000,2,0,8.113999999999999,133545,Melhores
O Gigante de Ferro,Livre,EUA,1999,23336504,70000000,20,18,8.102,227143,Melhores
O Grande Ditador,Livre,EUA,1940,972212,2000000,7,6,8.262,237800,Melhores
O Grande Hotel Budapeste,14,EUA,2014,174567384,25000000,135,226,8.120000000000001,887300,Melhores
O Grande Lebowski,14,Reino Unido,1998,48066229,15000000,5,18,8.049,859300,Melhores
O Grande Truque,14,Reino Unido,2006,109676311,40000000,6,44,8.503,1441600,Melhores
O Homem Elefante,10,EUA,1980,26028672,5000000,11,22,8.089,259328,Melhores
O Iluminado,16,Reino Unido,1980,47380610,19000000,6,9,8.299,1106400,Melhores
O Labirinto do Fauno,16,México,2006,83863565,19000000,109,115,8.110999999999999,703400,Melhores
O Lobo de Wall Street,18,EUA,2013,407039432,100000000,37,179,8.206,1582900,Melhores
O Mágico de Oz,Livre,EUA,1939,25637669,2777000,13,14,7.973999999999999,422600,Melhores
O Pianista,14,França,2002,120098945,35000000,57,74,8.469,913400,Melhores
O Poderoso Chefão,14,EUA,1972,250342030,6000000,31,31,8.951,1974700,Melhores
O Poderoso Chefão II,14,EUA,1974,47962897,13000000,17,21,8.823,1363100,Melhores
O Profissional,14,França,1994,19895210,18835620,5,16,8.497,1246300,Melhores
O Quarto de Jack,14,Irlanda,2015,35402766,13000000,108,141,8.077,450500,Melhores
O Rei Leão,Livre,EUA,1994,968750694,45000000,43,35,8.483,1143100,Melhores
O Resgate do Soldado Ryan,14,EUA,1998,482351251,70000000,79,75,8.504999999999999,1495100,Melhores
O Segredo dos Seus Olhos,16,Argentina,2009,35079650,2000000,53,43,8.184,222688,Melhores
O Senhor dos Anéis: A Sociedade do Anel,12,Nova Zelândia,2001,884041698,93000000,125,127,8.697,2008400,Melhores
O Senhor dos Anéis: As Duas Torres,12,Nova Zelândia,2002,948945489,94000000,132,138,8.653,1784300,Melhores
O Senhor dos Anéis: O Retorno do Rei,14,Nova Zelândia,2003,1156600472,94000000,215,124,8.793000000000001,1978500,Melhores
O Sexto Sentido,12,EUA,1999,672806432,40000000,37,56,8.129999999999999,1051500,Melhores
O Show de Truman: O Show da Vida,12,EUA,1998,264118712,60000000,40,69,8.149,1195800,Melhores
O Silêncio dos Inocentes,14,EUA,1991,272742922,19000000,71,50,8.526,1548700,Melhores
O Sol é para Todos,12,EUA,1962,599146,2000000,14,16,8.181000000000001,332800,Melhores
O Sétimo Selo,12,Suécia,1957,311212,150000,9,2,8.035,199300,Melhores
O Tesouro da Sierra Madre,Livre,EUA,1948,5014000,3000000,15,5,8.027,131484,Melhores
O Ódio,16,França,1995,414607,2771300,8,15,8.081,196760,Melhores
Oldboy,16,Coreia do Sul,2003,17542965,3000000,40,27,8.281,636300,Melhores
Onde os Fracos Não Têm Vez,16,EUA,2007,171632777,25000000,164,139,8.074,1059900,Melhores
Oppenheimer,16,EUA,2023,972214540,100000000,346,357,8.44,730100,Melhores
Os Bons Companheiros,14,EUA,1990,47049784,25000000,44,38,8.605,1257400,Melhores
Os Caçadores da Arca Perdida,Livre,EUA,1981,389925971,18000000,38,24,8.376,1037700,Melhores
Os Imperdoáveis,12,EUA,1992,159167799,14400000,51,47,8.138,436600,Melhores
Os Incríveis,Livre,EUA,2004,631688498,92000000,69,56,8.02,808400,Melhores
Os Infiltrados,18,EUA,2006,291481358,90000000,99,141,8.459,1422300,Melhores
Os Melhores Anos de Nossa Vida,Livre,EUA,1946,23661347,2100000,21,3,7.912,69720,Melhores
Os Sete Samurais,10,Japão,1954,346258,787500,5,9,8.383,366000,Melhores
Os Suspeitos,14,Alemanha,1995,23341568,6000000,37,17,8.478,1144700,Melhores
Os Suspeitos,16,EUA,2013,122127446,46000000,37,17,8.198,810600,Melhores
Os Suspeitos ,Livre,EUA,1939,25637669,2777000,10,38,0.013000000000000001,5600,Piores
Pacto de Sangue,14,EUA,1944,19324,927262,2,9,8.07,167138,Melhores
Parasita,16,Coreia do Sul,2019,262099264,11400000,309,265,8.48,959400,Melhores
"Paris, Texas",12,Alemanha,1984,2274285,1475740,16,11,8.031,119278,Melhores
Piratas do Caribe: A Maldição do Pérola Negra,14,EUA,2003,654264546,140000000,38,104,8.112,1210800,Melhores
Platoon,14,EUA,1986,138545632,6000000,24,16,8.044,439800,Melhores
Por uns Dólares a Mais,12,Itália,1965,15000000,600000,0,3,8.190999999999999,274780,Melhores
Prenda-Me se for Capaz,12,EUA,2002,352114312,52000000,16,46,8.155,1094400,Melhores
Princesa Mononoke,12,Japão,1997,170203640,15120000,14,6,8.335,432800,Melhores
Procurando Nemo,Livre,EUA,2003,941637960,94000000,49,63,8.125,1115300,Melhores
Psicose,14,EUA,1960,32060745,806947,8,14,8.373999999999999,718600,Melhores
Pulp Fiction: Tempo de Violência,18,EUA,1994,213928762,8000000,69,72,8.656,2220000,Melhores
Quanto Mais Quente Melhor,Livre,EUA,1959,200464,2883848,11,13,8.135,283800,Melhores
Ran,16,Japão,1985,4166319,11500000,30,23,8.067,136119,Melhores
Rashomon,14,Japão,1950,117668,250000,9,5,8.036999999999999,181000,Melhores
Ratatouille,Livre,EUA,2007,623728318,150000000,68,42,8.096,826200,Melhores
"Rebecca, a Mulher Inesquecível",12,EUA,1940,112282,1288000,7,10,7.991,146283,Melhores
Rebeldia Indomável,14,EUA,1967,126,3200000,5,11,8.052,187500,Melhores
Rede de Intrigas,14,EUA,1976,23692346,3800000,20,27,7.976,170072,Melhores
Relatos Selvagens,14,Argentina,2014,31478893,3300000,49,58,8.136000000000001,216208,Melhores
"Rocky, um Lutador",12,EUA,1976,117251948,960000,22,23,8.105,627700,Melhores
Rush: No Limite da Emoção,14,Reino Unido,2013,96992516,38000000,6,65,8.128,513484,Melhores
Réquiem para um Sonho,18,EUA,2000,7390108,4500000,37,69,8.223,899000,Melhores
Sangue Negro,14,EUA,2007,76186224,25000000,114,138,8.13,641400,Melhores
Scarface,18,EUA,1983,66443303,50000000,0,8,8.278,916500,Melhores
Se Meu Apartamento Falasse,Livre,EUA,1960,18778738,3000000,25,8,8.137,197357,Melhores
Sempre ao Seu Lado,Livre,Reino Unido,2009,46749646,16000000,0,1,8.223,312400,Melhores
Seven: Os Sete Crimes Capitais,14,EUA,1995,327333559,33000000,29,43,8.535,1799300,Melhores
Sindicato de Ladrões,14,EUA,1954,3350,910000,30,10,8.028,165086,Melhores
Snatch - Porcos e Diamantes,16,Reino Unido,2000,83557872,7620000,4,7,8.252,910900,Melhores
Sociedade dos Poetas Mortos,12,EUA,1989,235860116,16400000,20,19,8.168,545800,Melhores
Spotlight: Segredos Revelados,12,EUA,2015,98690254,20000000,124,144,8.07,501800,Melhores
Star Wars: Episódio IV - Uma Nova Esperança,Livre,EUA,1977,775398507,11000000,67,31,8.484,1449600,Melhores
Star Wars: Episódio V - O Império Contra-Ataca,Livre,EUA,1980,538375067,18000000,27,20,8.594999999999999,1380900,Melhores
Star Wars: Episódio VI - O Retorno de Jedi,Livre,EUA,1983,475106177,32500000,25,23,8.253,1123400,Melhores
Taxi Driver: Motorista de Táxi,14,EUA,1976,28579636,1300000,22,21,8.17,920900,Melhores
Tempos Modernos,Livre,EUA,1936,463618,1500000,4,1,8.339,258800,Melhores
Testemunha de Acusação,12,EUA,1957,7693,3000000,3,15,8.212,137856,Melhores
Top Gun: Maverick,12,EUA,2022,1495696292,170000000,107,234,8.384,697400,Melhores
Touro Indomável,16,EUA,1980,23406933,18000000,24,28,8.09,379700,Melhores
Toy Story,Livre,EUA,1995,394436586,30000000,29,23,8.265,1068300,Melhores
Toy Story 3,Livre,EUA,2010,1067316101,200000000,63,96,8.173,892700,Melhores
Trainspotting: Sem Limites,18,Reino Unido,1996,16787952,1905000,23,35,8.110000000000001,725300,Melhores
Três Anúncios para um Crime,16,Reino Unido,2017,162729321,15000000,132,233,8.11,556400,Melhores
Três Homens em Conflito,14,Itália,1966,25259657,1200000,2,5,8.657,811100,Melhores
Tubarão,14,EUA,1975,477220580,7000000,16,20,7.988,660300,Melhores
Túmulo dos Vagalumes,12,Japão,1988,519421,3700000,3,0,8.434,311100,Melhores
Um Corpo que Cai,14,EUA,1958,7804803,2479000,9,7,8.204,425600,Melhores
Um Estranho no Ninho,16,EUA,1975,109114987,3000000,38,15,8.562000000000001,1071300,Melhores
Um Sonho de Liberdade,16,EUA,1994,28906619,25000000,21,42,9.148,2903000,Melhores
Uma Mente Brilhante,12,EUA,2001,316791257,58000000,37,69,8.225,987100,Melhores
Up: Altas Aventuras,Livre,EUA,2009,735102136,175000000,81,88,8.235,1123500,Melhores
V de Vingança,16,EUA,2005,134686457,54000000,7,29,8.174,1178900,Melhores
Vingadores: Guerra Infinita,12,EUA,2018,2052415039,321000000,46,80,8.437,1202800,Melhores
